date,forecast,cases
2020-02-27,6.0,6.0
2020-02-28,7.847788093306913,8.0
2020-02-29,10.22811114130704,12.0
2020-03-01,13.29404050195283,12.0
2020-03-02,17.242376258461267,12.0
2020-03-03,22.325967177090483,12.0
2020-03-04,28.86937732495374,12.0
2020-03-05,37.28874423351613,21.0
2020-03-06,48.11681557972945,27.0
2020-03-07,62.034306351486094,34.0
2020-03-08,79.90882166352283,54.0
2020-03-09,102.84259322498093,71.0
2020-03-10,132.2300786407811,90.0
2020-03-11,169.82587470348375,115.0
2020-03-12,217.8222065429087,219.0
2020-03-13,278.9330136868463,269.0
2020-03-14,356.4779417467506,437.0
2020-03-15,454.45377490235586,554.0
2020-03-16,567.4724143908163,683.0
2020-03-17,706.1532824958352,859.0
2020-03-18,875.1221445399057,1008.0
2020-03-19,1079.2273430772132,1287.0
2020-03-20,1323.2264217085892,1515.0
2020-03-21,1611.3230758606637,1725.0
2020-03-22,1946.556062917703,1961.0
2020-03-23,2330.084440488134,2471.0
2020-03-24,2760.4709766168553,3010.0
2020-03-25,3233.123057538134,3406.0
2020-03-26,3740.0797130791534,3793.0
2020-03-27,4270.302349002507,4277.0
2020-03-28,4810.520666890276,4682.0
2020-03-29,5346.527045904706,5405.0
2020-03-30,5864.664344403342,5818.0
2020-03-31,6353.184526541316,6392.0
2020-04-01,6803.203467987229,6972.0
2020-04-02,7209.115174416534,7374.0
2020-04-03,7568.488949280986,7869.0
2020-04-04,7881.589966736913,8301.0
2020-04-05,8150.707389979106,8581.0
2020-04-06,8379.454257781897,
2020-04-07,8572.150013398437,
2020-04-08,8733.339046327403,
2020-04-09,8867.454367138374,
2020-04-10,8978.60890257671,
2020-04-11,9070.486513337382,
2020-04-12,9146.303292498169,
2020-04-13,9208.814294971186,
2020-04-14,9260.346591941976,
2020-04-15,9302.8452462798,
2020-04-16,9337.92348202537,
2020-04-17,9366.911802057562,
2020-04-18,9390.903171954615,
2020-04-19,9410.793038827693,
2020-04-20,9427.313814655223,
2020-04-21,9441.064048207822,
2020-04-22,9452.532805204863,
2020-04-23,9462.119816498012,
2020-04-24,9470.15203237911,
2020-04-25,9476.897156158742,
2020-04-26,9482.574665354734,
2020-04-27,9487.714841923616,
2020-04-28,9492.010078246292,
2020-04-29,9495.608326353475,
2020-04-30,9498.630281170774,
2020-05-01,9501.174607114172,
2020-05-02,9503.322131520585,
2020-05-03,9505.13921594814,
2020-05-04,9506.680466668244,
2020-05-05,9507.99091874729,
2020-05-06,9509.107798068315,
2020-05-07,9510.06194564754,
2020-05-08,9510.878970962916,
2020-05-09,9511.580187557618,
2020-05-10,9512.183373710472,
2020-05-11,9512.70339213614,
2020-05-12,9513.152695639765,
2020-05-13,9513.541740827133,
2020-05-14,9513.879327229228,
2020-05-15,9514.172875836572,
2020-05-16,9514.42865839037,
2020-05-17,9514.651986451256,
2020-05-18,9514.847367732138,
2020-05-19,9515.018635588605,
2020-05-20,9515.169056472536,
2020-05-21,9515.301419300256,
2020-05-22,9515.41810992887,
2020-05-23,9515.521173355428,
2020-05-24,9515.612365752011,
2020-05-25,9515.693198074097,
2020-05-26,9515.764972718014,
2020-05-27,9515.828814343793,
2020-05-28,9515.885695872123,
2020-05-29,9515.93646044343,
2020-05-30,9515.98183999987,
2020-05-31,9516.022471037146,
2020-06-01,9516.058907986697,
2020-06-02,9516.09163459614,
2020-06-03,9516.121073631159,
2020-06-04,9516.14759515938,
